Atom_Index, Neighbour_Index, distance
40,43,0.70711
40,61,0.70711
40,65,0.70711
40,67,0.70711
41,6,0.70711
41,7,0.70711
41,11,0.70711
41,18,0.70711
41,40,0.70711
41,42,0.70711
41,43,0.70711
41,44,0.70711
41,47,0.70711
41,52,0.70711
41,54,0.70711
41,56,0.70711
42,40,0.70711
42,41,0.70711
42,43,0.70711
42,44,0.70711
42,47,0.70711
42,65,0.70711
42,67,0.70711
42,71,0.70711
42,76,0.70711
42,77,0.70711
42,80,0.70711
42,101,0.70711
43,37,0.70711
43,38,0.70711
43,40,0.70711
43,41,0.70711
43,42,0.70711
43,50,0.70711
43,52,0.70711
43,54,0.70711
43,73,0.70711
43,76,0.70711
43,77,0.70711
43,88,0.70711
44,6,0.70711
44,10,0.70711
44,11,0.70711
44,35,0.70711
44,41,0.70711
44,42,0.70711
44,45,0.70711
44,46,0.70711
44,47,0.70711
44,65,0.70711
44,69,0.70711
44,71,0.70711
45,3,0.70711
45,10,0.70711
45,11,0.70711
45,22,0.70711
45,36,0.70711
45,39,0.70711
45,44,0.70711
45,46,0.70711
45,47,0.70711
45,48,0.70711
45,56,0.70711
45,58,0.70711
46,36,0.70711
46,39,0.70711
46,44,0.70711
46,45,0.70711
46,47,0.70711
46,63,0.70711
46,69,0.70711
46,71,0.70711
46,72,0.70711
46,80,0.70711
46,81,0.70711
46,105,0.70711
47,41,0.70711
47,42,0.70711
47,44,0.70711
47,45,0.70711
47,46,0.70711
47,54,0.70711
47,56,0.70711
47,58,0.70711
47,77,0.70711
47,80,0.70711
47,81,0.70711
47,92,0.70711
48,3,0.70711
48,14,0.70711
48,15,0.70711
48,22,0.70711
48,37,0.70711
48,39,0.70711
48,45,0.70711
48,49,0.70711
48,50,0.70711
48,51,0.70711
48,57,0.70711
48,58,0.70711
49,14,0.70711
49,15,0.70711
49,19,0.70711
49,26,0.70711
49,48,0.70711
49,50,0.70711
49,51,0.70711
49,52,0.70711
49,55,0.70711
49,60,0.70711
49,62,0.70711
49,64,0.70711
50,37,0.70711
50,39,0.70711
50,43,0.70711
50,48,0.70711
50,49,0.70711
50,51,0.70711
50,52,0.70711
50,55,0.70711
50,73,0.70711
50,84,0.70711
50,85,0.70711
50,88,0.70711
51,48,0.70711
51,49,0.70711
51,50,0.70711
51,57,0.70711
51,58,0.70711
51,60,0.70711
51,62,0.70711
51,70,0.70711
51,84,0.70711
51,85,0.70711
51,93,0.70711
51,96,0.70711
52,7,0.70711
52,14,0.70711
52,18,0.70711
52,19,0.70711
52,37,0.70711
52,41,0.70711
52,43,0.70711
52,49,0.70711
52,50,0.70711
52,53,0.70711
52,54,0.70711
52,55,0.70711
53,18,0.70711
53,19,0.70711
53,23,0.70711
53,30,0.70711
53,52,0.70711
53,54,0.70711
53,55,0.70711
53,56,0.70711
53,59,0.70711
53,64,0.70711
53,66,0.70711
53,68,0.70711
54,41,0.70711
54,43,0.70711
54,47,0.70711
54,52,0.70711
54,53,0.70711
54,55,0.70711
54,56,0.70711
54,59,0.70711
54,77,0.70711
54,88,0.70711
54,89,0.70711
54,92,0.70711
55,49,0.70711
55,50,0.70711
55,52,0.70711
55,53,0.70711
55,54,0.70711
55,62,0.70711
55,64,0.70711
55,66,0.70711
55,85,0.70711
55,88,0.70711
55,89,0.70711
55,100,0.70711
56,11,0.70711
56,18,0.70711
56,22,0.70711
56,23,0.70711
56,41,0.70711
56,45,0.70711
56,47,0.70711
56,53,0.70711
56,54,0.70711
56,57,0.70711
56,58,0.70711
56,59,0.70711
57,15,0.70711
57,22,0.70711
57,23,0.70711
57,34,0.70711
57,48,0.70711
57,51,0.70711
57,56,0.70711
57,58,0.70711
57,59,0.70711
57,60,0.70711
57,68,0.70711
57,70,0.70711
58,39,0.70711
58,45,0.70711
58,47,0.70711
58,48,0.70711
58,51,0.70711
58,56,0.70711
58,57,0.70711
58,59,0.70711
58,81,0.70711
58,84,0.70711
58,92,0.70711
58,93,0.70711
59,53,0.70711
59,54,0.70711
59,56,0.70711
59,57,0.70711
59,58,0.70711
59,66,0.70711
59,68,0.70711
59,70,0.70711
59,89,0.70711
59,92,0.70711
59,93,0.70711
59,104,0.70711
60,15,0.70711
60,26,0.70711
60,27,0.70711
60,34,0.70711
60,49,0.70711
60,51,0.70711
60,57,0.70711
60,61,0.70711
60,62,0.70711
60,63,0.70711
60,69,0.70711
60,70,0.70711
61,2,0.70711
61,26,0.70711
61,27,0.70711
61,31,0.70711
61,36,0.70711
61,38,0.70711
61,40,0.70711
61,60,0.70711
61,62,0.70711
61,63,0.70711
61,64,0.70711
61,67,0.70711
62,49,0.70711
62,51,0.70711
62,55,0.70711
62,60,0.70711
62,61,0.70711
62,63,0.70711
62,64,0.70711
62,67,0.70711
62,85,0.70711
62,96,0.70711
62,97,0.70711
62,100,0.70711
63,36,0.70711
63,38,0.70711
63,46,0.70711
63,60,0.70711
63,61,0.70711
63,62,0.70711
63,69,0.70711
63,70,0.70711
63,72,0.70711
63,96,0.70711
63,97,0.70711
63,105,0.70711
64,19,0.70711
64,26,0.70711
64,30,0.70711
64,31,0.70711
64,49,0.70711
64,53,0.70711
64,55,0.70711
64,61,0.70711
64,62,0.70711
64,65,0.70711
64,66,0.70711
64,67,0.70711
65,6,0.70711
65,30,0.70711
65,31,0.70711
65,35,0.70711
65,40,0.70711
65,42,0.70711
65,44,0.70711
65,64,0.70711
65,66,0.70711
65,67,0.70711
65,68,0.70711
65,71,0.70711
66,53,0.70711
66,55,0.70711
66,59,0.70711
66,64,0.70711
66,65,0.70711
66,67,0.70711
66,68,0.70711
66,71,0.70711
66,89,0.70711
66,100,0.70711
66,101,0.70711
66,104,0.70711
67,38,0.70711
67,40,0.70711
67,42,0.70711
67,61,0.70711
67,62,0.70711
67,64,0.70711
67,65,0.70711
67,66,0.70711
67,76,0.70711
67,97,0.70711
67,100,0.70711
67,101,0.70711
68,23,0.70711
68,30,0.70711
68,34,0.70711
68,35,0.70711
68,53,0.70711
68,57,0.70711
68,59,0.70711
68,65,0.70711
68,66,0.70711
68,69,0.70711
68,70,0.70711
68,71,0.70711
69,10,0.70711
69,27,0.70711
69,34,0.70711
69,35,0.70711
69,36,0.70711
69,44,0.70711
69,46,0.70711
69,60,0.70711
69,63,0.70711
69,68,0.70711
69,70,0.70711
69,71,0.70711
70,51,0.70711
70,57,0.70711
70,59,0.70711
70,60,0.70711
70,63,0.70711
70,68,0.70711
70,69,0.70711
70,71,0.70711
70,93,0.70711
70,96,0.70711
70,104,0.70711
70,105,0.70711
71,42,0.70711
71,44,0.70711
71,46,0.70711
71,65,0.70711
71,66,0.70711
71,68,0.70711
71,69,0.70711
71,70,0.70711
71,80,0.70711
71,101,0.70711
71,104,0.70711
71,105,0.70711
72,38,0.70711
72,39,0.70711
72,46,0.70711
72,63,0.70711
72,73,0.70711
72,74,0.70711
72,75,0.70711
72,81,0.70711
72,82,0.70711
72,97,0.70711
72,99,0.70711
72,105,0.70711
73,38,0.70711
73,39,0.70711
73,43,0.70711
73,50,0.70711
73,72,0.70711
73,74,0.70711
73,75,0.70711
73,76,0.70711
73,79,0.70711
73,84,0.70711
73,86,0.70711
73,88,0.70711
74,0,0.70711
74,1,0.70711
74,4,0.70711
74,25,0.70711
74,72,0.70711
74,73,0.70711
74,75,0.70711
74,76,0.70711
74,79,0.70711
74,97,0.70711
74,99,0.70711
74,103,0.70711
75,0,0.70711
75,1,0.70711
75,9,0.70711
75,12,0.70711
75,72,0.70711
75,73,0.70711
75,74,0.70711
75,81,0.70711
75,82,0.70711
75,84,0.70711
75,86,0.70711
75,94,0.70711
76,38,0.70711
76,42,0.70711
76,43,0.70711
76,67,0.70711
76,73,0.70711
76,74,0.70711
76,77,0.70711
76,78,0.70711
76,79,0.70711
76,97,0.70711
76,101,0.70711
76,103,0.70711
77,42,0.70711
77,43,0.70711
77,47,0.70711
77,54,0.70711
77,76,0.70711
77,78,0.70711
77,79,0.70711
77,80,0.70711
77,83,0.70711
77,88,0.70711
77,90,0.70711
77,92,0.70711
78,4,0.70711
78,5,0.70711
78,8,0.70711
78,29,0.70711
78,76,0.70711
78,77,0.70711
78,79,0.70711
78,80,0.70711
78,83,0.70711
78,101,0.70711
78,103,0.70711
78,107,0.70711
79,1,0.70711
79,4,0.70711
79,5,0.70711
79,16,0.70711
79,73,0.70711
79,74,0.70711
79,76,0.70711
79,77,0.70711
79,78,0.70711
79,86,0.70711
79,88,0.70711
79,90,0.70711
80,42,0.70711
80,46,0.70711
80,47,0.70711
80,71,0.70711
80,77,0.70711
80,78,0.70711
80,81,0.70711
80,82,0.70711
80,83,0.70711
80,101,0.70711
80,105,0.70711
80,107,0.70711
81,39,0.70711
81,46,0.70711
81,47,0.70711
81,58,0.70711
81,72,0.70711
81,75,0.70711
81,80,0.70711
81,82,0.70711
81,83,0.70711
81,84,0.70711
81,92,0.70711
81,94,0.70711
82,0,0.70711
82,8,0.70711
82,9,0.70711
82,33,0.70711
82,72,0.70711
82,75,0.70711
82,80,0.70711
82,81,0.70711
82,83,0.70711
82,99,0.70711
82,105,0.70711
82,107,0.70711
83,5,0.70711
83,8,0.70711
83,9,0.70711
83,20,0.70711
83,77,0.70711
83,78,0.70711
83,80,0.70711
83,81,0.70711
83,82,0.70711
83,90,0.70711
83,92,0.70711
83,94,0.70711
84,39,0.70711
84,50,0.70711
84,51,0.70711
84,58,0.70711
84,73,0.70711
84,75,0.70711
84,81,0.70711
84,85,0.70711
84,86,0.70711
84,87,0.70711
84,93,0.70711
84,94,0.70711
85,50,0.70711
85,51,0.70711
85,55,0.70711
85,62,0.70711
85,84,0.70711
85,86,0.70711
85,87,0.70711
85,88,0.70711
85,91,0.70711
85,96,0.70711
85,98,0.70711
