Atom_Index, Neighbour_Index, distance
2,7,3.70524
2,8,8.28517
2,9,6.41766
2,10,5.24
2,11,8.28517
2,12,6.41766
2,13,8.28517
2,14,5.24
2,15,8.28517
2,16,6.41766
2,17,9.80314
2,18,7.41048
2,19,8.28517
2,20,9.80314
2,21,9.80314
2,22,7.41048
2,24,6.41766
2,25,3.70524
2,26,5.24
2,27,3.70524
2,28,6.41766
2,29,6.41766
2,30,7.41048
2,31,3.70524
2,32,9.80314
2,33,6.41766
2,34,7.41048
2,35,8.28517
2,36,3.70524
2,37,3.70524
2,38,5.24
2,39,6.41766
2,40,3.70524
2,41,6.41766
2,42,7.41048
2,43,6.41766
2,44,8.28517
2,45,6.41766
2,46,7.41048
2,47,9.80314
2,48,6.41766
2,49,8.28517
2,50,7.41048
2,51,9.80314
2,52,6.41766
2,53,9.80314
2,54,9.07595
2,55,9.80314
2,56,9.80314
2,57,9.80314
2,58,9.07595
2,60,6.41766
2,61,3.70524
2,62,7.41048
2,63,6.41766
2,64,6.41766
2,65,6.41766
2,66,9.07595
2,67,6.41766
2,68,9.80314
2,69,6.41766
2,70,9.07595
2,71,9.80314
2,72,8.28517
2,73,8.28517
2,74,5.24
2,75,6.41766
2,76,8.28517
2,77,9.80314
2,78,7.41048
2,79,6.41766
2,81,9.80314
2,82,7.41048
2,83,9.80314
2,84,9.80314
2,86,7.41048
2,87,9.80314
2,88,9.80314
2,90,9.07595
2,91,9.80314
2,94,9.07595
2,96,9.80314
2,97,8.28517
2,98,7.41048
2,99,6.41766
2,100,9.80314
2,101,9.80314
2,102,9.07595
2,103,6.41766
2,105,9.80314
2,106,9.07595
2,107,9.80314
3,0,3.70524
3,1,3.70524
3,2,3.70524
3,4,6.41766
3,5,8.28517
3,6,8.28517
3,7,5.24
3,8,6.41766
3,9,3.70524
3,10,3.70524
3,11,5.24
3,12,3.70524
3,13,6.41766
3,14,3.70524
3,15,5.24
3,16,6.41766
3,17,9.80314
3,18,8.28517
3,19,7.41048
3,20,6.41766
3,21,6.41766
3,22,3.70524
3,23,7.41048
3,24,8.28517
3,25,6.41766
3,26,8.28517
3,27,5.24
3,28,9.80314
3,29,9.80314
3,31,7.41048
3,32,9.80314
3,33,6.41766
3,34,8.28517
3,35,7.41048
3,36,3.70524
3,37,3.70524
3,38,6.41766
3,39,5.24
3,40,6.41766
3,41,8.28517
3,42,9.80314
3,43,7.41048
3,44,6.41766
3,45,3.70524
3,46,6.41766
3,47,7.41048
3,48,3.70524
3,49,6.41766
3,50,6.41766
3,51,7.41048
3,52,6.41766
3,53,9.80314
3,54,9.80314
3,55,9.07595
3,56,6.41766
3,57,6.41766
3,58,6.41766
3,59,9.07595
3,60,8.28517
3,61,6.41766
3,62,9.80314
3,63,7.41048
3,64,9.80314
3,65,9.80314
3,67,9.07595
3,68,9.80314
3,69,6.41766
3,70,9.80314
3,71,9.07595
3,72,8.28517
3,73,8.28517
3,74,6.41766
3,75,5.24
3,76,9.80314
3,78,9.80314
3,79,7.41048
3,80,9.80314
3,81,8.28517
3,82,6.41766
3,83,7.41048
3,84,8.28517
